Versicherer;Land;Hoheitsgebiet;Geschäftsjahr;Erhebungsjahr;Region;Altersklasse;Unfalleinschluss;Tarif;Tariftyp;Altersuntergruppe;Franchisestufe;Franchise;Prämie;isBaseP;isBaseF;Tarifbezeichnung
0008;EU AT;EU;2025;2024;PR-REG EU0;AKL-KIN;MIT-UNF;BASE;BASE;K1;FRAST1;FRA-0;167.2;1;1;BASE
0008;EU AT;EU;2025;2024;PR-REG EU0;AKL-JUG;MIT-UNF;BASE;BASE;;FRAST1;FRA-300;570;1;1;BASE
0008;EU AT;EU;2025;2024;PR-REG EU0;AKL-ERW;MIT-UNF;BASE;BASE;;FRAST1;FRA-300;760;1;1;BASE
0008;EU AT;EU;2025;2024;PR-REG EU0;AKL-KIN;OHN-UNF;BASE;BASE;K1;FRAST1;FRA-0;155.5;1;1;BASE
0008;EU AT;EU;2025;2024;PR-REG EU0;AKL-JUG;OHN-UNF;BASE;BASE;;FRAST1;FRA-300;530.1;1;1;BASE
0008;EU AT;EU;2025;2024;PR-REG EU0;AKL-ERW;OHN-UNF;BASE;BASE;;FRAST1;FRA-300;706.8;1;1;BASE
0008;EU BE;EU;2025;2024;PR-REG EU0;AKL-KIN;MIT-UNF;BASE;BASE;K1;FRAST1;FRA-0;125.4;1;1;BASE
0008;EU BE;EU;2025;2024;PR-REG EU0;AKL-JUG;MIT-UNF;BASE;BASE;;FRAST1;FRA-300;427.5;1;1;BASE
0008;EU BE;EU;2025;2024;PR-REG EU0;AKL-ERW;MIT-UNF;BASE;BASE;;FRAST1;FRA-300;570;1;1;BASE
0008;EU BE;EU;2025;2024;PR-REG EU0;AKL-KIN;OHN-UNF;BASE;BASE;K1;FRAST1;FRA-0;116.6;1;1;BASE
0008;EU BE;EU;2025;2024;PR-REG EU0;AKL-JUG;OHN-UNF;BASE;BASE;;FRAST1;FRA-300;397.6;1;1;BASE
0008;EU BE;EU;2025;2024;PR-REG EU0;AKL-ERW;OHN-UNF;BASE;BASE;;FRAST1;FRA-300;530.1;1;1;BASE
0008;EU BG;EU;2025;2024;PR-REG EU0;AKL-KIN;MIT-UNF;BASE;BASE;K1;FRAST1;FRA-0;66;1;1;BASE
